# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 45.05
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: sky dip 45
1.582317843352761984e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317843438441038e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317843542954922e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317843641796112e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317843741765976e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317843840862989e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317843940937996e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317844039824963e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317844153976917e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317844253901005e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317844352788925e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317844451844931e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317844551582098e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317844650799036e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317844750706911e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317844846856117e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317844963447094e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317845062666893e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317845162699938e+09 5.708999999999999631e-01 0.000000000000000000e+00
1.582317845257015944e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317845361677885e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317845456454992e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317845557631969e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317845655985117e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317845755739927e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317845872108936e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317845971927881e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317846068152905e+09 5.707999999999999741e-01 0.000000000000000000e+00
1.582317846171402931e+09 5.705000000000000071e-01 0.000000000000000000e+00
1.582317846270766020e+09 5.706999999999999851e-01 0.000000000000000000e+00
1.582317846370548964e+09 5.705999999999999961e-01 0.000000000000000000e+00
1.582317846469557047e+09 5.706999999999999851e-01 0.000000000000000000e+00
