# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 60.15
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: sky dip 60
1.582317059306865931e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317059426628113e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317059520924091e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317059624672890e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317059724565983e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317059819566011e+09 5.629999999999999449e-01 0.000000000000000000e+00
1.582317059919261932e+09 5.635000000000000009e-01 0.000000000000000000e+00
1.582317060019368887e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317060122629881e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317060218760014e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317060333333969e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317060433093071e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317060532515049e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317060632488966e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317060732283115e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317060831921101e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317060931901932e+09 5.635000000000000009e-01 0.000000000000000000e+00
1.582317061031682014e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317061131298065e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317061246608973e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317061345590115e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317061440459013e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317061544514894e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317061644668102e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317061738866091e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317061843513012e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317061942882061e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317062056713104e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317062156519890e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317062255466938e+09 5.635000000000000009e-01 0.000000000000000000e+00
1.582317062355503082e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317062454442978e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317062554435015e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317062653490067e+09 5.636999999999999789e-01 0.000000000000000000e+00
1.582317062753510952e+09 5.635999999999999899e-01 0.000000000000000000e+00
1.582317062852204084e+09 5.636999999999999789e-01 0.000000000000000000e+00
1.582317062952389956e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317063066241980e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317063165292978e+09 5.635000000000000009e-01 0.000000000000000000e+00
1.582317063265347004e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317063364387035e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317063461210966e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317063558818102e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317063658711910e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317063762393951e+09 5.629999999999999449e-01 0.000000000000000000e+00
1.582317063874867916e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317063974632025e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317064074399948e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317064170278072e+09 5.634000000000000119e-01 0.000000000000000000e+00
1.582317064273823023e+09 5.633000000000000229e-01 0.000000000000000000e+00
1.582317064373613119e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317064473454952e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317064573209047e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317064687263012e+09 5.632000000000000339e-01 0.000000000000000000e+00
1.582317064786242008e+09 5.631000000000000449e-01 0.000000000000000000e+00
1.582317064886163950e+09 5.632000000000000339e-01 0.000000000000000000e+00
