# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 30.00
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: sky dip 30
1.582318416530441046e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318416613886118e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318416717283964e+09 5.927000000000000046e-01 0.000000000000000000e+00
1.582318416812441111e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318416914376974e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318417027582884e+09 5.913000000000000478e-01 0.000000000000000000e+00
1.582318417128923893e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318417229137897e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318417328177929e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318417422580957e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318417527308941e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318417622090101e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318417721887112e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318417838170052e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318417934921980e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418037743092e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418137507915e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318418237274885e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418337047100e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418431617975e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418533763885e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318418635114908e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318418749088049e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318418848655939e+09 5.920999999999999597e-01 0.000000000000000000e+00
1.582318418948046923e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318419048029900e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318419147121906e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318419247026920e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318419346055984e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318419446094036e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318419545063972e+09 5.925000000000000266e-01 0.000000000000000000e+00
1.582318419659077883e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318419758013964e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318419858043909e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318419957007885e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318420057207108e+09 5.920999999999999597e-01 0.000000000000000000e+00
1.582318420156131029e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318420255928993e+09 5.919999999999999707e-01 0.000000000000000000e+00
1.582318420354959965e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318420465259075e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318420565049887e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318420664808989e+09 5.920999999999999597e-01 0.000000000000000000e+00
1.582318420764571905e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318420867173910e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318420964076996e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318421063839912e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318421163606882e+09 5.924000000000000377e-01 0.000000000000000000e+00
1.582318421278897047e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318421377911091e+09 5.921999999999999487e-01 0.000000000000000000e+00
1.582318421477874994e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318421576807022e+09 5.923000000000000487e-01 0.000000000000000000e+00
1.582318421676949978e+09 5.920999999999999597e-01 0.000000000000000000e+00
1.582318421775876999e+09 5.921999999999999487e-01 0.000000000000000000e+00
