# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315152802905083e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315152902982950e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315153001962900e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315153101907969e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315153200963974e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315153314866066e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315153414844036e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315153513951063e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315153613781929e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315153713006973e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315153812851906e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315153907284021e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315154007045984e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154106816053e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154206573963e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154322972059e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315154422739029e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315154522473097e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315154622237921e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154721997023e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154821752071e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315154921677113e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155020735979e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315155134839058e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155234710932e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155333760023e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315155433660030e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155532675028e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155632622004e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315155731652975e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315155831545115e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315155945831060e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315156044627905e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156144594908e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315156243666887e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156343549013e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315156442646027e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156542507887e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156642553091e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156741597891e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315156840596914e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315156950012922e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315157049673080e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315157153598070e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315157249299049e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315157349072933e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315157448846102e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315157549920082e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315157647315979e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315157764723063e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315157864439964e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315157964251041e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315158063636065e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315158163584948e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158262419939e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158362286091e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315158462455034e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315158575341940e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158675329924e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158775412083e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158874303102e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315158973332882e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315159073318958e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315159173329115e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315159272373915e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315159372355938e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315159471326113e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315159583964109e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315159685154915e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315159784259081e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315159884397030e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315159983392954e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315160083045006e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315160182019949e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315160282277107e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315160391772985e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315160491533041e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315160591017008e+09 1.554999999999999993e-01 2.741800000000000068e+02
