# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315102511723995e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102610743046e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102724992037e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102824902058e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102923559904e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103023572922e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103122735977e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315103222587109e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103321716070e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103421746016e+09 1.557999999999999940e-01 2.741899999999999977e+02
1.582315103520656109e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103634675980e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315103734509945e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315103833579063e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315103933501005e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104032670021e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315104132494926e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104231564045e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315104331536055e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104431531906e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315104541944027e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104641709089e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104743573904e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315104841247082e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315104938885927e+09 1.557999999999999940e-01 2.741899999999999977e+02
1.582315105040765047e+09 1.557999999999999940e-01 2.741899999999999977e+02
1.582315105140527964e+09 1.557999999999999940e-01 2.741899999999999977e+02
1.582315105240291119e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315105340035915e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315105454339981e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315105551666975e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315105649045944e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315105753576994e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315105853382111e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315105952474117e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106051665068e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106151588917e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106265355110e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106364445925e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106464302063e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106564341068e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315106663358927e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106763187885e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315106862325907e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315106962409019e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107061225891e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107175514936e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107275532961e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315107374336004e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107474236965e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107573210001e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315107673100948e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107767573118e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315107872339964e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315107967097998e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315108066871881e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315108185203075e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315108284347057e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315108382756948e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315108482523918e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315108582289934e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315108682204008e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315108781840086e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315108881105900e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315108995249033e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315109095140934e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109194051981e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109294050932e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109393011093e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109492945910e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109592070103e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109691930056e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315109792022943e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315109905107975e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315110005037069e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315110104021072e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315110203896046e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315110302997112e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315110403000116e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315110502916098e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315110601999044e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315110700901985e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315110815124989e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315110914964914e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315111013982058e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315111109597921e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315111213984966e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315111309122086e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315111411884069e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315111508614063e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315111608382940e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315111724775076e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315111824732065e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315111924777031e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112023857117e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112123835087e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112222876072e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112322762012e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112421828985e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112521816969e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315112635807991e+09 1.552000000000000046e-01 2.741800000000000068e+02
1.582315112734693050e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112833730936e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315112933696985e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113033655882e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113132857084e+09 1.552000000000000046e-01 2.741800000000000068e+02
1.582315113232662916e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113331692934e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113445657015e+09 1.552000000000000046e-01 2.741800000000000068e+02
1.582315113544646025e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113644515991e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113744635105e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315113843592882e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315113943717003e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315114042572975e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114142668009e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114241652966e+09 1.552000000000000046e-01 2.741800000000000068e+02
1.582315114351851940e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114451577902e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114551242113e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114650996923e+09 1.552000000000000046e-01 2.741800000000000068e+02
1.582315114750874996e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315114850637913e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315114950402975e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115051500082e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115149934053e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115249699116e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115365485907e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315115464481115e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115564436913e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315115664455891e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115763602018e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115862505913e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315115962296963e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116061503887e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116175419092e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116275355101e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116374363899e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116474229097e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116574378014e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116673422098e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315116773338079e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315116872278929e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315116986511946e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315117085028887e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315117185472012e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315117284390926e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117384237051e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117483406067e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315117583126068e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117683157921e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117782198906e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117882174969e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315117993129969e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315118092895031e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315118192657948e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315118292424917e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315118392185926e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315118491923094e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315118591677904e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315118691452026e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315118806297064e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315118906210899e+09 1.554999999999999993e-01 2.741700000000000159e+02
