# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 60.05
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: sky dip 60
1.582319605572521925e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319605696594954e+09 4.808999999999999941e-01 0.000000000000000000e+00
1.582319605796430111e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319605895504951e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319605994410992e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319606105335951e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319606208540916e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319606307301044e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319606407332897e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319606506298065e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319606600615025e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319606705291986e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319606804235935e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319606918306112e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607018310070e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607117249966e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319607216258049e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319607311516047e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607411231041e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607510945082e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607610761881e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319607727118969e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607826930046e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319607926667929e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319608026437998e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319608126153946e+09 4.808999999999999941e-01 0.000000000000000000e+00
1.582319608225945950e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319608325236082e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319608425262928e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319608524126053e+09 4.804999999999999827e-01 0.000000000000000000e+00
1.582319608638223886e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319608737137079e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319608837158918e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319608936151028e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319609036179066e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319609135124922e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319609235074997e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319609334146023e+09 4.804999999999999827e-01 0.000000000000000000e+00
1.582319609448097944e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319609547009945e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319609646992922e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319609746035099e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319609846005917e+09 4.807000000000000162e-01 0.000000000000000000e+00
1.582319609945024014e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319610044995070e+09 4.808000000000000052e-01 0.000000000000000000e+00
1.582319610144067049e+09 4.806000000000000272e-01 0.000000000000000000e+00
1.582319610254395008e+09 4.804999999999999827e-01 0.000000000000000000e+00
1.582319610354186058e+09 4.806000000000000272e-01 0.000000000000000000e+00
