# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 90.00
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: pointing at sky
1.581712829962995052e+09 -5.933000000000000496e-01 2.704499999999999886e+02
1.581712830088279009e+09 -5.930999999999999606e-01 2.704499999999999886e+02
1.581712830188267946e+09 -5.929999999999999716e-01 2.704499999999999886e+02
1.581712830286938906e+09 -5.933000000000000496e-01 2.704499999999999886e+02
1.581712830387137890e+09 -5.929999999999999716e-01 2.704499999999999886e+02
1.581712830486162901e+09 -5.933000000000000496e-01 2.704499999999999886e+02
1.581712830585997105e+09 -5.933000000000000496e-01 2.704499999999999886e+02
1.581712830686216116e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712830785311937e+09 -5.934000000000000385e-01 2.704599999999999795e+02
1.581712830885018110e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712830984381914e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712831094238997e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712831194008112e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712831297194958e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712831393539906e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712831492325068e+09 -5.927000000000000046e-01 2.704599999999999795e+02
1.581712831593075037e+09 -5.927000000000000046e-01 2.704599999999999795e+02
1.581712831692831039e+09 -5.930999999999999606e-01 2.704499999999999886e+02
1.581712831792587996e+09 -5.930999999999999606e-01 2.704499999999999886e+02
1.581712831892364025e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712831992162943e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712832108107090e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712832208189011e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712832308032036e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712832407140970e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712832507045031e+09 -5.934000000000000385e-01 2.704599999999999795e+02
1.581712832607027054e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712832706110001e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712832806022882e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712832904993057e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712833018961906e+09 -5.934000000000000385e-01 2.704599999999999795e+02
1.581712833118948936e+09 -5.933000000000000496e-01 2.704599999999999795e+02
1.581712833217900991e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712833318063974e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712833413075924e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712833516849995e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712833616931915e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712833715814114e+09 -5.927999999999999936e-01 2.704599999999999795e+02
1.581712833815862894e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712833915879965e+09 -5.927999999999999936e-01 2.704599999999999795e+02
1.581712834028953075e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712834128931046e+09 -5.927999999999999936e-01 2.704599999999999795e+02
1.581712834228758097e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712834327874899e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712834427793980e+09 -5.927999999999999936e-01 2.704599999999999795e+02
1.581712834526774883e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712834626818895e+09 -5.928999999999999826e-01 2.704599999999999795e+02
1.581712834726887941e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712834840795040e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712834935112000e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712835034888983e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712835134679079e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712835234410048e+09 -5.933000000000000496e-01 2.704599999999999795e+02
1.581712835334191084e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712835433948994e+09 -5.931999999999999496e-01 2.704599999999999795e+02
1.581712835533715010e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712835633436918e+09 -5.930999999999999606e-01 2.704700000000000273e+02
1.581712835733258963e+09 -5.931999999999999496e-01 2.704700000000000273e+02
1.581712835849596024e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712835949441910e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712836049150944e+09 -5.927999999999999936e-01 2.704700000000000273e+02
1.581712836148973942e+09 -5.931999999999999496e-01 2.704700000000000273e+02
1.581712836248688936e+09 -5.930999999999999606e-01 2.704700000000000273e+02
1.581712836348453045e+09 -5.930999999999999606e-01 2.704599999999999795e+02
1.581712836447746992e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712836547703981e+09 -5.929999999999999716e-01 2.704599999999999795e+02
1.581712836661798954e+09 -5.928999999999999826e-01 2.704599999999999795e+02
