# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 70.35
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: pointing at sky
1.581712444929810047e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712445044051886e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712445143835068e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712445243592978e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712445343406916e+09 -5.987000000000000099e-01 2.705799999999999841e+02
1.581712445443142891e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712445558521986e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712445658549070e+09 -5.987000000000000099e-01 2.705799999999999841e+02
1.581712445758548021e+09 -5.987999999999999989e-01 2.705799999999999841e+02
1.581712445857283115e+09 -5.987999999999999989e-01 2.705799999999999841e+02
1.581712445957470894e+09 -5.988999999999999879e-01 2.705799999999999841e+02
1.581712446057471991e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712446156461954e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712446256582022e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712446355480909e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712446469386101e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712446569343090e+09 -5.983000000000000540e-01 2.705899999999999750e+02
1.581712446668517113e+09 -5.985000000000000320e-01 2.705899999999999750e+02
1.581712446768424034e+09 -5.985000000000000320e-01 2.705899999999999750e+02
1.581712446867568016e+09 -5.980999999999999650e-01 2.705799999999999841e+02
1.581712446967377901e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712447067389011e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712447166395903e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712447266386986e+09 -5.984000000000000430e-01 2.705899999999999750e+02
1.581712447366430044e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712447479362965e+09 -5.987000000000000099e-01 2.705799999999999841e+02
1.581712447579406977e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712447679210901e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712447778239012e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712447878520012e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712447977300882e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712448077419043e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712448177440882e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712448286370993e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712448386131048e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712448485888004e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712448585666895e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712448685431004e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712448785162926e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712448884954929e+09 -5.986000000000000210e-01 2.705799999999999841e+02
1.581712448984720945e+09 -5.985000000000000320e-01 2.705799999999999841e+02
1.581712449084688902e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712449184252024e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712449300611973e+09 -5.981999999999999540e-01 2.705799999999999841e+02
1.581712449400316000e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712449500139952e+09 -5.981999999999999540e-01 2.705799999999999841e+02
1.581712449599355936e+09 -5.979999999999999760e-01 2.705799999999999841e+02
1.581712449699136972e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712449799014091e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712449898294926e+09 -5.981999999999999540e-01 2.705799999999999841e+02
1.581712449998332024e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712450112265110e+09 -5.983000000000000540e-01 2.705799999999999841e+02
1.581712450211191893e+09 -5.980999999999999650e-01 2.705799999999999841e+02
1.581712450311259985e+09 -5.984000000000000430e-01 2.705799999999999841e+02
1.581712450410087109e+09 -5.984000000000000430e-01 2.705799999999999841e+02
